HoldPriorValue,TaxRollYr,TotalAssessedVal
32300,2006,32300
37000,2006,37000
44000,2006,44000
28200,2006,28200
32500,2006,32500
61400,2006,61400
139100,2006,139100
22500,2006,22500
38400,2006,38400
28100,2006,28100
34200,2006,34200
41100,2006,41100
16300,2006,16300
20500,2006,20500
15000,2006,15000
14500,2006,14500
100,2006,100
25200,2006,25200
17000,2006,17000
24200,2006,24200
19000,2006,19000
20800,2006,20800
25400,2006,25400
3600,2006,3600
24100,2006,24100
28600,2006,28600
30500,2006,30500
19200,2006,19200
25800,2006,25800
28700,2006,28700
42400,2006,42400
24900,2006,24900
31800,2006,31800
36900,2006,36900
31000,2006,31000
32400,2006,32400
30300,2006,30300
500,2006,500
1200,2006,1200
100,2006,100
500,2006,500
40500,2006,40500
41900,2006,41900
59300,2006,59300
24300,2006,24300
45300,2006,45300
32300,2006,32300
37300,2006,37300
39600,2006,39600
30400,2006,30400
30700,2006,30700
53600,2006,53600
1900,2006,1900
1200,2006,1200
40600,2006,40600
4800,2006,4800
13000,2006,13000
10000,2006,10000
630000,2006,630000
9200,2006,9200
165000,2006,165000
9600,2006,9600
12200,2006,12200
1600,2006,1600
2400,2006,2400
40500,2006,40500
1600,2006,1600
2000,2006,2000
6000,2006,6000
34800,2006,34800
6900,2006,6900
56000,2006,56000
3800,2006,3800
50350,2006,50350
24600,2006,24600
2600,2006,2600
400,2006,400
6000,2006,6000
3200,2006,3200
7000,2006,7000
1600,2006,1600
1400,2006,1400
1400,2006,1400
7800,2006,7800
5900,2006,5900
1000,2006,1000
2900,2006,2900
48100,2006,48100
10960,2006,10960
3000,2006,3000
3800,2006,3800
6600,2006,6600
1200,2006,1200
2000,2006,2000
14400,2006,14400
9320,2006,9320
1639,2006,1639
1714,2006,1714
1510,2006,1510
122798,2006,122798
2204,2006,2204
15231,2006,15231
219136,2006,219136
439642,2006,439642
2063,2006,2063
8695,2006,8695
1491,2006,1491
2043,2006,2043
4095,2006,4095
2543,2006,2543
61600,2006,61600
193600,2006,193600
3600,2006,3600
111100,2006,111100
65400,2006,65400
10286,2006,10286
355850,2006,355850
40000,2006,40000
596840,2006,596840
16350,2006,16350
35060,2006,35060
83880,2006,83880
54100,2006,54100
52810,2006,52810
153500,2006,153500
71620,2006,71620
22080,2006,22080
0,2006,0
81860,2006,81860
520,2006,520
32990,2006,32990
17210,2006,17210
1950,2006,1950
17500,2006,17500
600,2006,600
700,2006,700
3000,2006,3000
700,2006,700
1000,2006,1000
38800,2006,38800
16071,2006,16071
5200,2006,5200
18200,2006,18200
18000,2006,18000
6500,2006,6500
3000,2006,3000
1200,2006,1200
1200,2006,1200
4200,2006,4200
1800,2006,1800
2400,2006,2400
3000,2006,3000
5900,2006,5900
17100,2006,17100
600,2006,600
4900,2006,4900
370000,2006,370000
4000,2006,4000
3000,2006,3000
3600,2006,3600
5900,2006,5900
37800,2006,37800
105000,2006,105000
56400,2006,56400
113700,2006,113700
50000,2006,50000
500,2006,500
7000,2006,7000
75200,2006,75200
66800,2006,66800
42200,2006,42200
21200,2006,21200
17600,2006,17600
114000,2006,114000
107000,2006,107000
124500,2006,124500
105000,2006,105000
89200,2006,89200
67600,2006,67600
69500,2006,69500
7000,2006,7000
44136,2006,44136
39500,2006,39500
32000,2006,32000
36600,2006,36600
34000,2006,34000
50000,2006,50000
46700,2006,46700
42500,2006,42500
43200,2006,43200
27500,2006,27500
30900,2006,30900
31300,2006,31300
148500,2006,148500
15500,2006,15500
15500,2006,15500
15500,2006,15500
15500,2006,15500
15500,2006,15500
15500,2006,15500
109500,2006,109500
105000,2006,105000
77500,2006,77500
7000,2006,7000
7000,2006,7000
92400,2006,92400
7000,2006,7000
106000,2006,106000
74000,2006,74000
73200,2006,73200
72500,2006,72500
54800,2006,54800
30000,2006,30000
44000,2006,44000
82000,2006,82000
85000,2006,85000
160000,2006,160000
97200,2006,97200
108900,2006,108900
135100,2006,135100
93700,2006,93700
93500,2006,93500
7000,2006,7000
138900,2006,138900
88000,2006,88000
114500,2006,114500
115100,2006,115100
114000,2006,114000
135000,2006,135000
30900,2006,30900
50000,2006,50000
50000,2006,50000
134000,2006,134000
31600,2006,31600
31600,2006,31600
31600,2006,31600
31600,2006,31600
31600,2006,31600
31600,2006,31600
31600,2006,31600
31600,2006,31600
31600,2006,31600
31600,2006,31600
31600,2006,31600
31600,2006,31600
31600,2006,31600
31600,2006,31600
31600,2006,31600
35100,2006,35100
33477,2006,33477
34652,2006,34652
33310,2006,33310
36079,2006,36079
29800,2006,29800
35070,2006,35070
36079,2006,36079
37170,2006,37170
33310,2006,33310
33309,2006,33309
34652,2006,34652
153300,2006,153300
158000,2006,158000
135000,2006,135000
106500,2006,106500
58600,2006,58600
58600,2006,58600
9000,2006,9000
61100,2006,61100
60400,2006,60400
61500,2006,61500
85750,2006,85750
109600,2006,109600
137100,2006,137100
130000,2006,130000
8000,2006,8000
29000,2006,29000
28000,2006,28000
31900,2006,31900
34000,2006,34000
30000,2006,30000
34000,2006,34000
34000,2006,34000
34000,2006,34000
34000,2006,34000
112500,2006,112500
238300,2006,191400
35000,2006,35000
43800,2006,43800
45700,2006,45700
85000,2006,85000
79000,2006,79000
125000,2006,125000
106000,2006,106000
8000,2006,8000
117500,2006,117500
159000,2006,159000
40000,2006,40000
40000,2006,40000
40000,2006,40000
135000,2006,135000
42100,2006,42100
43800,2006,43800
33800,2006,33800
33800,2006,33800
35500,2006,35500
30400,2006,30400
35900,2006,35900
28800,2006,28800
5500,2006,5500
3600,2006,3600
2000,2006,2000
20000,2006,20000
197400,2006,197400
22500,2006,22500
27300,2006,27300
27300,2006,27300
25700,2006,25700
29400,2006,29400
29800,2006,29800
29800,2006,29800
22500,2006,22500
29100,2006,29100
29600,2006,29600
29600,2006,29600
29100,2006,29100
22600,2006,22600
96000,2006,96000
96800,2006,96800
129300,2006,129300
80000,2006,80000
84600,2006,84600
93700,2006,93700
43000,2006,43000
15000,2006,15000
20400,2006,20400
20400,2006,20400
20400,2006,20400
20400,2006,20400
20400,2006,20400
20400,2006,20400
41800,2006,41800
42700,2006,42700
44000,2006,44000
41800,2006,41800
42800,2006,42800
44000,2006,44000
152800,2006,152800
105000,2006,90000
15000,2006,15000
90000,2006,90000
74400,2006,74400
101900,2006,101900
32600,2006,32600
34900,2006,34900
39300,2006,39300
45800,2006,45800
35800,2006,35800
41300,2006,41300
6000,2006,6000
6000,2006,6000
41000,2006,41000
51700,2006,51700
35200,2006,35200
40500,2006,40500
36900,2006,36900
35800,2006,35800
38400,2006,38400
30900,2006,30900
279000,2006,279000
279000,2006,279000
38900,2006,38900
27300,2006,27300
41000,2006,41000
41000,2006,41000
39700,2006,39700
39700,2006,39700
105800,2006,105800
117000,2006,117000
32500,2006,32500
32700,2006,32700
33900,2006,33900
32500,2006,32500
32700,2006,32700
33900,2006,33900
85000,2006,85000
39400,2006,39400
39600,2006,39600
41200,2006,41200
39400,2006,39400
39600,2006,39600
31250,2006,31250
39400,2006,39400
39600,2006,39600
41200,2006,41200
39400,2006,39400
39600,2006,39600
41200,2006,41200
86500,2006,86500
105500,2006,105500
137300,2006,137300
65000,2006,65000
50000,2006,50000
17700,2006,17700
21500,2006,21500
38500,2006,38500
7500,2006,7500
7500,2006,7500
7500,2006,7500
2857100,2006,2857100
700000,2006,700000
112200,2006,112200
890000,2006,890000
18500,2006,18500
20500,2006,20500
220000,2006,220000
90900,2006,90900
25000,2006,25000
90900,2006,90900
40800,2006,40800
85500,2006,85500
36300,2006,36300
72400,2006,72400
23200,2006,23200
75000,2006,75000
103900,2006,103900
39400,2006,39400
39400,2006,39400
35000,2006,35000
58800,2006,58800
39100,2006,39100
146500,2006,146500
63600,2006,63600
103900,2006,103900
55800,2006,55800
2600,2006,2600
88200,2006,88200
68300,2006,68300
35000,2006,35000
34400,2006,34400
42900,2006,42900
34400,2006,34400
103400,2006,103400
43300,2006,43300
65400,2006,65400
28800,2006,28800
1078300,2006,1078300
32200,2006,32200
83000,2006,83000
79500,2006,79500
89000,2006,89000
34200,2006,34200
100400,2006,100400
106200,2006,106200
71200,2006,71200
43800,2006,43800
27400,2006,27400
54600,2006,54600
66800,2006,66800
31800,2006,31800
73000,2006,73000
40000,2006,40000
117000,2006,117000
31700,2006,31700
109450,2006,109450
34200,2006,34200
82900,2006,82900
81700,2006,81700
61500,2006,61500
118700,2006,118700
20000,2006,20000
36400,2006,36400
78300,2006,78300
120500,2006,120500
23100,2006,23100
74000,2006,74000
15000,2006,15000
53500,2006,53500
21500,2006,21500
35000,2006,35000
36500,2006,36500
215400,2006,215400
23500,2006,23500
115600,2006,115600
68600,2006,68600
59000,2006,59000
58500,2006,58500
6200,2006,6200
125000,2006,125000
91600,2006,91600
37100,2006,37100
101500,2006,101500
44000,2006,44000
111000,2006,111000
69400,2006,69400
53700,2006,53700
60700,2006,60700
39700,2006,39700
61100,2006,61100
61100,2006,61100
14000,2006,14000
14000,2006,14000
87100,2006,87100
77400,2006,77400
96100,2006,96100
42500,2006,42500
126000,2006,126000
115000,2006,115000
1750000,2006,1750000
2000000,2006,2000000
250000,2006,250000
112300,2006,112300
51300,2006,51300
45000,2006,45000
65000,2006,65000
44200,2006,44200
53500,2006,53500
82850,2006,82850
90000,2006,90000
56700,2006,56700
95500,2006,95500
43100,2006,43100
85500,2006,85500
40600,2006,40600
82300,2006,82300
203500,2006,203500
1200000,2006,1200000
114000,2006,114000
120000,2006,120000
95000,2006,95000
70600,2006,70600
43400,2006,43400
43700,2006,43700
106500,2006,106500
39900,2006,39900
9600,2006,9600
86100,2006,86100
70400,2006,70400
65150,2006,65150
25800,2006,25800
88600,2006,88600
30000,2006,30000
53000,2006,53000
85000,2006,85000
97400,2006,97400
1990000,2006,1990000
75100,2006,75100
33100,2006,33100
125000,2006,125000
55400,2006,55400
115300,2006,115300
17500,2006,17500
17500,2006,17500
23500,2006,23500
23500,2006,23500
23500,2006,23500
23500,2006,23500
106000,2006,106000
106000,2006,106000
39000,2006,39000
44300,2006,44300
45600,2006,45600
81200,2006,81200
20000,2006,20000
20000,2006,20000
20000,2006,20000
20000,2006,20000
25000,2006,25000
20000,2006,20000
25000,2006,25000
56500,2006,56500
182000,2006,182000
20000,2006,20000
20000,2006,20000
20000,2006,20000
20000,2006,20000
20000,2006,20000
22000,2006,22000
20000,2006,20000
72300,2006,72300
86400,2006,86400
52400,2006,52400
69100,2006,69100
35000,2006,35000
65000,2006,65000
75700,2006,75700
92000,2006,92000
37600,2006,37600
5200,2006,5200
31700,2006,31700
20000,2006,20000
54000,2006,54000
97900,2006,97900
114250,2006,114250
125000,2006,125000
75600,2006,75600
37500,2006,37500
105000,2006,105000
71000,2006,71000
1200,2006,1200
86000,2006,86000
35000,2006,35000
35000,2006,35000
113700,2006,113700
62600,2006,62600
38200,2006,38200
110000,2006,110000
41100,2006,41100
222750,2006,222750
31100,2006,31100
42100,2006,42100
127500,2006,127500
42300,2006,42300
383900,2006,383900
225000,2006,225000
103000,2006,103000
49500,2006,49500
100500,2006,100500
32000,2006,32000
86000,2006,86000
132700,2006,132700
20000,2006,20000
53000,2006,53000
95400,2006,95400
178000,2006,178000
14000,2006,14000
70400,2006,70400
53600,2006,53600
86900,2006,86900
95000,2006,95000
12800,2006,12800
81000,2006,81000
42800,2006,42800
86000,2006,86000
20000,2006,20000
77500,2006,77500
81600,2006,81600
44500,2006,44500
42100,2006,42100
100000,2006,100000
80000,2006,80000
799800,2006,799800
300000,2006,300000
30000,2006,30000
25800,2006,25800
84000,2006,84000
206000,2006,206000
10000,2006,10000
96000,2006,96000
91800,2006,91800
14800,2006,14800
23000,2006,23000
0,2006,0
35500,2006,35500
44300,2006,44300
27500,2006,27500
114600,2006,114600
265000,2006,265000
96500,2006,96500
96500,2006,96500
96500,2006,96500
33600,2006,33600
5000,2006,5000
31700,2006,31700
102100,2006,102100
37200,2006,37200
85000,2006,85000
93500,2006,93500
44300,2006,44300
55000,2006,55000
112800,2006,112800
51800,2006,51800
66500,2006,66500
112500,2006,112500
61800,2006,61800
76300,2006,76300
100000,2006,100000
48000,2006,48000
35500,2006,35500
50500,2006,50500
96000,2006,96000
86900,2006,86900
113000,2006,113000
105000,2006,105000
104600,2006,104600
41200,2006,41200
100000,2006,100000
14000,2006,14000
71000,2006,71000
101500,2006,101500
3000,2006,3000
112200,2006,112200
20000,2006,20000
52600,2006,52600
68600,2006,68600
1700,2006,1700
97600,2006,97600
98500,2006,98500
72000,2006,72000
12000,2006,12000
5000,2006,5000
105000,2006,105000
104000,2006,104000
117000,2006,117000
113300,2006,113300
140000,2006,140000
2500,2006,2500
1000,2006,1000
2500,2006,2500
5000,2006,5000
139800,2006,139800
300,2006,300
2100000,2006,2100000
500,2006,500
1900,2006,1900
6300,2006,6300
108900,2006,108900
160000,2006,160000
77300,2006,77300
113000,2006,113000
115800,2006,115800
127000,2006,127000
101200,2006,101200
84300,2006,84300
79300,2006,79300
86000,2006,86000
100000,2006,100000
99300,2006,99300
97500,2006,97500
101300,2006,101300
92600,2006,92600
1500,2006,1500
67200,2006,67200
31800,2006,31800
28700,2006,28700
35600,2006,35600
66000,2006,66000
70000,2006,70000
72600,2006,72600
26700,2006,26700
100000,2006,100000
32600,2006,32600
81000,2006,81000
200,2006,200
500,2006,500
1900,2006,1900
101200,2006,101200
144600,2006,144600
25000,2006,25000
104000,2006,104000
6000,2006,6000
100,2006,100
1400,2006,1400
37536,2006,37536
219327,2006,219327
146727,2006,146727
3558,2006,3558
4790,2006,4790
0,2006,0
4850,2006,4850
5010,2006,5010
170,2006,170
60800,2006,60800
67500,2006,67500
100400,2006,100400
3300,2006,3300
1000,2006,1000
27500,2006,27500
31800,2006,31800
105000,2006,105000
39200,2006,39200
50000,2006,50000
71500,2006,71500
9800,2006,9800
16500,2006,16500
69800,2006,69800
7100,2006,7100
48000,2006,48000
45000,2006,45000
43500,2006,43500
24900,2006,24900
50000,2006,50000
30700,2006,30700
27500,2006,27500
14400,2006,14400
52000,2006,52000
5000,2006,5000
60000,2006,40000
20000,2006,20000
39200,2006,39200
6500,2006,6500
6500,2006,6500
6500,2006,6500
6500,2006,6500
6500,2006,6500
6500,2006,6500
6500,2006,6500
6500,2006,6500
42100,2006,42100
40300,2006,40300
6500,2006,6500
6500,2006,6500
6500,2006,6500
6500,2006,6500
6500,2006,6500
6500,2006,6500
20000,2006,20000
35000,2006,35000
60000,2006,60000
65200,2006,65200
29400,2006,29400
22100,2006,22100
16500,2006,16500
18900,2006,18900
27300,2006,27300
14700,2006,14700
21900,2006,21900
30500,2006,30500
38500,2006,38500
32000,2006,32000
17700,2006,17700
25500,2006,25500
4400,2006,4400
95800,2006,95800
1700,2006,1700
41000,2006,41000
6500,2006,6500
6500,2006,6500
6500,2006,6500
39300,2006,39300
39100,2006,39100
41900,2006,41900
39800,2006,39800
6500,2006,6500
6500,2006,6500
6500,2006,6500
6500,2006,6500
3250,2006,3250
6500,2006,6500
6500,2006,6500
6500,2006,6500
44500,2006,44500
38900,2006,38900
55100,2006,55100
58300,2006,58300
33300,2006,33300
30700,2006,30700
6300,2006,6300
12000,2006,12000
42300,2006,42300
33700,2006,33700
40700,2006,40700
30400,2006,30400
48200,2006,48200
36300,2006,36300
52900,2006,52900
40000,2006,40000
32200,2006,32200
31200,2006,31200
20000,2006,20000
20000,2006,20000
39600,2006,39600
23300,2006,23300
48500,2006,48500
43600,2006,43600
45300,2006,45300
48500,2006,48500
38200,2006,38200
27700,2006,27700
43500,2006,43500
31500,2006,31500
31500,2006,31500
30000,2006,30000
47900,2006,47900
35719,2006,35719
34600,2006,34600
24900,2006,24900
9500,2006,9500
36500,2006,36500
23000,2006,23000
39000,2006,39000
36700,2006,36700
37400,2006,37400
1000,2006,1000
20000,2006,20000
40000,2006,40000
34700,2006,34700
27500,2006,27500
61400,2006,61400
39400,2006,39400
31400,2006,31400
32300,2006,32300
27500,2006,27500
43400,2006,43400
39000,2006,39000
42100,2006,42100
29300,2006,29300
39000,2006,39000
40300,2006,40300
28000,2006,28000
30200,2006,30200
32200,2006,32200
41400,2006,41400
32400,2006,32400
54800,2006,54800
67900,2006,67900
34000,2006,34000
44000,2006,44000
41400,2006,41400
30700,2006,30700
35150,2006,35150
37800,2006,37800
44300,2006,44300
33800,2006,33800
36400,2006,36400
39400,2006,39400
35800,2006,35800
36900,2006,36900
37800,2006,37800
38300,2006,38300
36800,2006,36800
45000,2006,45000
58000,2006,58000
43000,2006,43000
57000,2006,57000
35000,2006,35000
51300,2006,51300
41500,2006,41500
57600,2006,57600
42200,2006,42200
13500,2006,13500
97000,2006,97000
42000,2006,42000
41100,2006,41100
12600,2006,12600
41500,2006,41500
39700,2006,39700
33700,2006,33700
64000,2006,64000
62000,2006,62000
36600,2006,36600
26400,2006,26400
42693,2006,42693
66500,2006,66500
38600,2006,38600
49500,2006,49500
40900,2006,40900
31400,2006,31400
32800,2006,32800
22100,2006,22100
35600,2006,35600
26400,2006,26400
25800,2006,25800
31200,2006,31200
33400,2006,33400
52000,2006,52000
48400,2006,48400
100000,2006,100000
45900,2006,45900
35200,2006,35200
44300,2006,44300
45800,2006,45800
61000,2006,61000
45800,2006,45800
44700,2006,44700
40400,2006,40400
36500,2006,36500
34500,2006,34500
32400,2006,32400
34500,2006,34500
34900,2006,34900
500,2006,500
14400,2006,14400
31000,2006,31000
31000,2006,31000
60500,2006,60500
36500,2006,36500
33200,2006,33200
38400,2006,38400
36000,2006,36000
60000,2006,60000
56300,2006,56300
52100,2006,52100
54800,2006,54800
57200,2006,57200
60500,2006,60500
49500,2006,49500
62000,2006,62000
1500,2006,1500
22500,2006,22500
25000,2006,25000
52000,2006,52000
21500,2006,21500
20000,2006,20000
29800,2006,29800
8000,2006,8000
21300,2006,21300
16200,2006,16200
30900,2006,30900
23500,2006,23500
35000,2006,35000
25500,2006,25500
112300,2006,112300
6500,2006,6500
6500,2006,6500
6500,2006,6500
3250,2006,3250
3250,2006,3250
3250,2006,3250
39200,2006,39200
39000,2006,39000
38400,2006,38400
37600,2006,37600
39100,2006,39100
39000,2006,39000
40400,2006,40400
39300,2006,39300
39600,2006,39600
38300,2006,38300
40100,2006,40100
7700,2006,7700
52000,2006,52000
94500,2006,94500
39200,2006,39200
42200,2006,42200
40000,2006,40000
39800,2006,39800
38800,2006,38800
39100,2006,39100
39600,2006,39600
39300,2006,39300
46600,2006,46600
49000,2006,49000
35400,2006,35400
53300,2006,53300
35200,2006,35200
34100,2006,34100
68000,2006,68000
61200,2006,61200
80000,2006,80000
48000,2006,48000
25780,2006,25780
9500,2006,9500
32500,2006,32500
42000,2006,42000
39100,2006,39100
22200,2006,22200
33100,2006,33100
50300,2006,50300
41100,2006,41100
41900,2006,41900
49500,2006,49500
33100,2006,33100
42700,2006,42700
35500,2006,35500
37000,2006,37000
43200,2006,43200
26700,2006,26700
38800,2006,38800
42900,2006,42900
35200,2006,35200
54400,2006,54400
36200,2006,36200
38100,2006,38100
37200,2006,37200
35600,2006,35600
34800,2006,34800
30600,2006,30600
42700,2006,42700
46000,2006,46000
29200,2006,29200
33300,2006,33300
39100,2006,39100
47200,2006,47200
44100,2006,44100
32100,2006,32100
27600,2006,27600
43400,2006,43400
30000,2006,30000
47100,2006,47100
26100,2006,26100
27200,2006,27200
49600,2006,49600
43900,2006,43900
35500,2006,35500
60500,2006,60500
38900,2006,38900
37700,2006,37700
10000,2006,10000
27100,2006,27100
23000,2006,23000
37500,2006,37500
44300,2006,44300
31000,2006,31000
41500,2006,41500
46300,2006,46300
39500,2006,39500
24400,2006,24400
53800,2006,53800
50400,2006,50400
24600,2006,24600
2400,2006,2400
3600,2006,3600
5400,2006,5400
1800,2006,1800
60000,2006,60000
34321,2006,34321
35000,2006,35000
38000,2006,38000
42500,2006,42500
1170000,2006,1170000
50100,2006,50100
43500,2006,43500
40100,2006,40100
41700,2006,41700
37700,2006,37700
32000,2006,32000
30300,2006,30300
36600,2006,36600
40900,2006,40900
33900,2006,33900
39700,2006,39700
33200,2006,33200
41500,2006,41500
34200,2006,34200
52600,2006,52600
35700,2006,35700
40400,2006,40400
35700,2006,35700
39100,2006,39100
50000,2006,50000
40000,2006,40000
32900,2006,32900
15300,2006,15300
37500,2006,37500
43700,2006,43700
38700,2006,38700
47000,2006,47000
43100,2006,43100
55200,2006,55200
48450,2006,48450
3100,2006,3100
44000,2006,44000
44500,2006,44500
45700,2006,45700
600,2006,600
47900,2006,47900
41500,2006,41500
45700,2006,45700
41500,2006,41500
41300,2006,41300
41200,2006,41200
52600,2006,52600
49800,2006,49800
56500,2006,56500
53800,2006,53800
43200,2006,43200
45100,2006,45100
41200,2006,41200
43000,2006,43000
41100,2006,41100
43100,2006,43100
41400,2006,41400
44400,2006,44400
41000,2006,41000
41700,2006,41700
40100,2006,40100
43500,2006,43500
41000,2006,41000
42900,2006,42900
43600,2006,43600
44000,2006,44000
42400,2006,42400
43100,2006,43100
42500,2006,42500
48700,2006,48700
44300,2006,44300
41300,2006,41300
43100,2006,43100
42400,2006,42400
40200,2006,40200
44500,2006,44500
45000,2006,45000
69700,2006,69700
51500,2006,51500
8300,2006,8300
2600,2006,2600
45000,2006,45000
55900,2006,55900
46100,2006,46100
41700,2006,41700
51300,2006,51300
48200,2006,48200
40300,2006,40300
41400,2006,41400
40000,2006,40000
41200,2006,41200
52200,2006,52200
41900,2006,41900
34800,2006,34800
40600,2006,40600
295574,2006,295574
48000,2006,48000
36500,2006,36500
52400,2006,52400
45600,2006,45600
6000,2006,6000
74600,2006,74600
24000,2006,24000
46900,2006,46900
42900,2006,42900
44100,2006,44100
51600,2006,51600
40000,2006,40000
38500,2006,38500
41100,2006,41100
30000,2006,30000
7400,2006,7400
44400,2006,44400
61000,2006,61000
25200,2006,25200
30100,2006,30100
32400,2006,32400
40500,2006,40500
25200,2006,25200
42500,2006,42500
48400,2006,48400
27000,2006,27000
35000,2006,35000
49700,2006,49700
10400,2006,10400
500,2006,500
22500,2006,22500
63800,2006,63800
70000,2006,70000
60000,2006,60000
60700,2006,60700
15000,2006,15000
34600,2006,34600
32800,2006,32800
45700,2006,45700
35000,2006,35000
39800,2006,39800
35200,2006,35200
